CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-31T23:06:11,18 SPCS,AZTECHSAT-1,1998-067RE,EARTH,TEME,UTC,SGP4,2021-10-31T13:05:37.669632,15.84022396,0.0009244,51.6304,341.6721,42.2757,317.8958,0,U,45261,999,9677,0.00093101,0.00218625,0,6697.216,90.908,325.272,312.89,PAYLOAD,SMALL,US,1998,TTMTR,,3194821,188583694,0 AZTECHSAT-1,1 45261U 98067RE  21304.54557488  .00218625  00000-0  93101-3 0  9995,2 45261  51.6304 341.6721 0009244  42.2757 317.8958 15.84022396 96779
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,RADSAT-U,1998-067RF,EARTH,TEME,UTC,SGP4,2021-10-31T20:38:07.189152,15.63571091,0.0005397,51.6424,0.5489,75.5942,284.5651,0,U,45262,999,9657,0.00051279,0.00048322,0,6755.488,92.097,380.999,373.707,PAYLOAD,SMALL,US,1998,TTMTR,,3194950,188604989,0 RADSAT-U,1 45262U 98067RF  21304.85980543  .00048322  00000-0  51279-3 0  9997,2 45262  51.6424   0.5489 0005397  75.5942 284.5651 15.63571091 96571
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,QARMAN,1998-067RG,EARTH,TEME,UTC,SGP4,2021-10-31T17:51:48.684672,15.71954707,0.0007477,51.6358,352.1314,42.6582,317.4996,0,U,45263,999,9669,0.00085805,0.00115532,0,6731.448,91.606,358.346,348.28,PAYLOAD,SMALL,BEL,1998,TTMTR,,3194950,188605233,0 QARMAN,1 45263U 98067RG  21304.74431348  .00115532  00000-0  85805-3 0  9990,2 45263  51.6358 352.1314 0007477  42.6582 317.4996 15.71954707 96696
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,SORTIE,1998-067RH,EARTH,TEME,UTC,SGP4,2021-10-31T17:39:17.860896,15.57891979,0.0007299,51.6419,10.1884,60.0237,300.1479,0,U,45264,999,9642,0.00036619,0.00027485,0,6771.896,92.433,398.704,388.818,PAYLOAD,SMALL,US,1998,TTMTR,,3194950,188604488,0 SORTIE,1 45264U 98067RH  21304.73562339  .00027485  00000-0  36619-3 0  9993,2 45264  51.6419  10.1884 0007299  60.0237 300.1479 15.57891979 96422
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-31T18:07:15,18 SPCS,ISS DEB (ICS-EF),1998-067RJ,EARTH,TEME,UTC,SGP4,2021-10-31T13:27:14.082624,15.54055364,0.0005492,51.6416,18.6952,58.234,301.9185,0,U,45265,999,9597,0.00019747,0.00012583,0,6783.037,92.661,408.627,401.177,DEBRIS,LARGE,JPN,1998,TTMTR,,3194431,188569843,0 ISS DEB (ICS-EF),1 45265U 98067RJ  21304.56057966  .00012583  00000-0  19747-3 0  9996,2 45265  51.6416  18.6952 0005492  58.2340 301.9185 15.54055364 95975
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:46:11,18 SPCS,SL-14 DEB,1991-056C,EARTH,TEME,UTC,SGP4,2021-11-01T03:50:50.637120,13.17909025,0.000425,82.5523,251.6016,336.8014,23.2916,0,U,45266,999,8263,0.00023371,0.00000103,0,7570.854,109.264,1195.937,1189.502,DEBRIS,MEDIUM,CIS,1991,PKMTR,,3195163,188613770,0 SL-14 DEB,1 45266U 91056C   21305.16030830  .00000103  00000-0  23371-3 0  9999,2 45266  82.5523 251.6016 0004250 336.8014  23.2916 13.17909025 82636
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-31T18:07:15,18 SPCS,SL-14 DEB,1991-056D,EARTH,TEME,UTC,SGP4,2021-10-31T13:50:42.716256,13.14028398,0.0015841,82.5661,256.0465,145.6664,214.5484,0,U,45267,999,8231,-0.00053323,-0.00000184,0,7585.753,109.587,1219.634,1195.601,DEBRIS,MEDIUM,CIS,1991,PKMTR,,3194431,188570845,0 SL-14 DEB,1 45267U 91056D   21304.57688329 -.00000184  00000-0 -53323-3 0  9997,2 45267  82.5661 256.0465 0015841 145.6664 214.5484 13.14028398 82314
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-31T22:46:11,18 SPCS,SL-14 DEB,1991-056E,EARTH,TEME,UTC,SGP4,2021-10-31T14:18:17.052480,13.15583706,0.0011119,82.5553,254.0621,94.879,265.3601,0,U,45268,999,8236,-0.00044405,-0.00000155,0,7579.773,109.457,1210.066,1193.21,DEBRIS,MEDIUM,CIS,1991,PKMTR,,3194683,188579844,0 SL-14 DEB,1 45268U 91056E   21304.59603070 -.00000155  00000-0 -44405-3 0  9999,2 45268  82.5553 254.0621 0011119  94.8790 265.3601 13.15583706 82366
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T06:46:11,18 SPCS,SL-14 DEB,1991-056F,EARTH,TEME,UTC,SGP4,2021-11-01T04:40:42.575808,13.20395246,0.0027083,82.5749,251.1721,357.3153,2.7822,0,U,45269,999,8279,0.000087433,0.00000048,0,7561.348,109.058,1203.691,1162.734,DEBRIS,MEDIUM,CIS,1991,PKMTR,,3195175,188613476,0 SL-14 DEB,1 45269U 91056F   21305.19493722  .00000048  00000-0  87433-4 0  9996,2 45269  82.5749 251.1721 0027083 357.3153   2.7822 13.20395246 82791
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-31T22:46:11,18 SPCS,SL-14 DEB,1991-056G,EARTH,TEME,UTC,SGP4,2021-10-31T13:48:59.987520,13.2173382,0.0033083,82.5676,250.0789,348.8625,11.1764,0,U,45270,999,8279,0.00030695,0.00000139,0,7556.242,108.948,1203.105,1153.108,DEBRIS,SMALL,CIS,1991,PKMTR,,3194685,188579876,0 SL-14 DEB,1 45270U 91056G   21304.57569430  .00000139  00000-0  30695-3 0  9997,2 45270  82.5676 250.0789 0033083 348.8625  11.1764 13.21733820 82794
2,GENERATED VIA SPACE-TRACK.ORG API,2021-11-01T04:58:37,18 SPCS,SL-14 DEB,1991-056H,EARTH,TEME,UTC,SGP4,2021-10-31T14:57:08.035488,13.06715352,0.0051892,82.5476,261.5299,166.5351,193.7164,0,U,45271,999,8116,-0.00015183,-0.00000038,0,7614.029,110.2,1275.404,1196.383,DEBRIS,SMALL,CIS,1991,PKMTR,,3194950,188605234,0 SL-14 DEB,1 45271U 91056H   21304.62300967 -.00000038  00000-0 -15183-3 0  9997,2 45271  82.5476 261.5299 0051892 166.5351 193.7164 13.06715352 81169
2,GENERATED VIA SPACE-TRACK.ORG API,2021-10-31T18:07:15,18 SPCS,SL-14 DEB,1991-056J,EARTH,TEME,UTC,SGP4,2021-10-31T11:38:11.286240,13.59749824,0.0183297,82.6485,225.7072,204.244,155.0003,0,U,45272,999,8488,0.0016962,0.0000142,0,7414.738,105.902,1172.513,900.693,DEBRIS,SMALL,CIS,1991,PKMTR,,3194431,188571090,0 SL-14 DEB,1 45272U 91056J   21304.48485285  .00001420  00000-0  16962-2 0  9998,2 45272  82.6485 225.7072 0183297 204.2440 155.0003 13.59749824 84880
